engine;min_replicas;site;x;y;z;n_members;n_replicas;mean_occupancy;max_occupancy;spread_A;nearest_crystal_A
LOCH;2;CS040;11.510;29.681;6.211;7;4;0.1371;0.1900;1.110;6.417
LOCH;2;CS041;14.815;29.895;7.825;4;4;0.1350;0.1600;0.911;5.364
LOCH;2;CS042;15.041;29.409;5.509;5;4;0.1260;0.1400;0.888;4.568
LOCH;2;CS043;20.640;23.033;12.524;4;4;0.1225;0.1600;0.769;2.946
LOCH;2;CS044;15.414;15.917;13.967;4;3;0.6100;0.9400;0.708;0.940
LOCH;2;CS045;15.836;24.095;13.427;4;3;0.3225;0.4300;0.845;2.715
LOCH;2;CS046;17.811;21.822;8.587;4;3;0.3200;0.4900;0.771;3.057
LOCH;2;CS047;14.742;26.889;4.994;4;3;0.2825;0.4600;0.616;2.464
LOCH;2;CS048;14.647;23.269;13.634;3;3;0.2567;0.4100;0.762;3.660
LOCH;2;CS049;10.831;28.246;3.020;4;3;0.2450;0.4700;0.875;6.711
LOCH;2;CS050;22.687;20.225;10.670;5;3;0.2440;0.3700;0.807;1.315
LOCH;2;CS051;17.678;23.366;13.200;3;3;0.2433;0.3800;0.754;1.824
LOCH;2;CS052;12.602;26.980;3.193;3;3;0.2300;0.3200;0.479;4.763
LOCH;2;CS053;13.347;25.946;-0.018;3;3;0.2267;0.3100;0.699;6.621
LOCH;2;CS054;16.565;27.627;4.224;4;3;0.2200;0.3100;0.703;3.323
LOCH;2;CS055;19.257;24.494;9.440;3;3;0.2167;0.3100;0.644;1.215
LOCH;2;CS056;15.436;28.400;11.592;5;3;0.2100;0.3100;0.903;4.089
LOCH;2;CS057;14.899;26.513;11.118;6;3;0.1967;0.2800;0.945;2.655
LOCH;2;CS058;13.995;26.546;1.540;5;3;0.1960;0.3600;1.161;5.116
LOCH;2;CS059;21.627;22.203;12.397;5;3;0.1820;0.2300;0.859;3.044
LOCH;2;CS060;22.444;24.062;8.986;3;3;0.1767;0.2000;0.393;2.288
LOCH;2;CS061;17.816;28.287;11.393;6;3;0.1700;0.2200;0.974;3.910
LOCH;2;CS062;18.762;22.852;9.886;5;3;0.1680;0.2600;0.857;1.796
LOCH;2;CS063;11.488;28.835;4.004;4;3;0.1625;0.1900;1.025;6.178
LOCH;2;CS064;18.943;26.132;12.373;7;3;0.1614;0.2000;1.075;3.107
LOCH;2;CS065;17.123;23.801;10.456;3;3;0.1600;0.1800;0.728;0.986
LOCH;2;CS066;17.253;29.039;9.264;4;3;0.1600;0.2200;0.898;4.366
LOCH;2;CS067;20.187;25.419;8.711;3;3;0.1600;0.1900;0.573;0.633
LOCH;2;CS068;19.963;26.724;7.953;4;3;0.1600;0.1900;0.986;1.755
LOCH;2;CS069;12.339;29.422;8.092;8;3;0.1537;0.2100;1.141;6.042
LOCH;2;CS070;20.642;23.730;9.401;4;3;0.1525;0.2100;0.753;1.974
LOCH;2;CS071;16.148;28.065;8.384;4;3;0.1525;0.2400;0.818;3.920
LOCH;2;CS072;12.993;28.642;3.172;3;3;0.1467;0.2100;0.840;5.474
LOCH;2;CS073;21.340;26.354;7.217;4;3;0.1400;0.1700;0.887;2.640
LOCH;2;CS074;18.800;28.581;9.647;3;3;0.1367;0.1600;0.763;3.252
LOCH;2;CS075;19.001;24.349;11.269;5;3;0.1300;0.1800;0.883;1.861
LOCH;2;CS076;13.885;30.060;9.588;3;3;0.1300;0.1600;0.491;6.303
LOCH;2;CS077;19.491;28.014;6.956;5;3;0.1300;0.1800;0.902;3.390
LOCH;2;CS078;20.626;22.603;10.190;3;3;0.1267;0.1300;0.712;2.313
LOCH;2;CS079;15.653;27.997;5.852;3;3;0.1233;0.1300;0.875;3.067
LOCH;2;CS080;15.380;29.604;9.136;3;3;0.1200;0.1300;0.549;5.491
LOCH;2;CS081;14.928;16.410;15.726;2;2;0.6650;0.9000;0.671;1.151
LOCH;2;CS082;14.366;25.684;5.917;3;2;0.2800;0.3100;0.503;1.648
LOCH;2;CS083;18.173;22.662;15.952;2;2;0.2550;0.3200;0.445;4.503
LOCH;2;CS084;18.519;28.508;5.504;2;2;0.2100;0.2100;0.481;4.497
LOCH;2;CS085;19.440;21.082;15.082;5;2;0.2020;0.3000;1.031;4.319
LOCH;2;CS086;16.935;27.971;2.413;2;2;0.1800;0.1900;0.201;4.851
LOCH;2;CS087;15.186;25.497;12.600;2;2;0.1750;0.2500;0.369;2.457
LOCH;2;CS088;19.798;23.483;13.703;2;2;0.1750;0.2300;0.474;3.004
LOCH;2;CS089;16.264;28.979;10.224;2;2;0.1750;0.1900;0.464;4.478
LOCH;2;CS090;16.616;24.718;9.255;3;2;0.1700;0.2200;0.756;1.650
LOCH;2;CS091;21.374;26.165;9.287;2;2;0.1550;0.1900;0.382;1.647
LOCH;2;CS092;16.907;25.037;12.016;2;2;0.1450;0.1700;0.699;1.230
LOCH;2;CS093;16.894;26.664;8.410;2;2;0.1300;0.1400;0.314;3.119
LOCH;2;CS094;16.057;27.124;12.120;2;2;0.1200;0.1300;0.354;2.901
LOCH;2;CS095;18.498;28.147;3.937;2;2;0.1150;0.1300;0.614;4.668
LOCH;2;CS096;13.600;30.309;6.954;2;2;0.1150;0.1300;0.528;5.886
LOCH;2;CS097;21.980;20.571;8.158;2;2;0.1100;0.1100;0.478;1.619
LOCH;2;CS098;18.996;21.888;13.127;2;2;0.1100;0.1200;0.398;2.220
LOCH;4;CS001;22.761;22.184;7.518;6;4;0.5850;0.8600;0.967;1.077
LOCH;4;CS002;20.145;18.920;9.928;8;4;0.4750;0.8500;1.249;1.048
LOCH;4;CS003;15.934;24.107;10.959;7;4;0.3457;0.5500;0.914;0.896
LOCH;4;CS004;20.697;19.987;7.674;8;4;0.3175;0.6500;0.852;2.490
LOCH;4;CS005;18.807;20.575;8.297;6;4;0.2783;0.4700;1.146;2.149
